JDAY,PO4
65.5,1.08E-03
65.75,1.09E-03
66,1.12E-03
66.25,1.16E-03
66.5,1.19E-03
66.75,1.22E-03
67,1.30E-03
67.25,1.36E-03
67.5,1.41E-03
67.75,1.43E-03
68,1.42E-03
68.25,1.42E-03
68.5,1.40E-03
68.75,1.39E-03
69,1.39E-03
69.25,1.43E-03
69.5,1.44E-03
69.75,1.45E-03
70,1.50E-03
70.25,1.56E-03
70.5,1.60E-03
70.75,1.59E-03
71,1.59E-03
71.25,1.61E-03
71.5,1.64E-03
71.75,1.68E-03
72,1.74E-03
72.25,1.86E-03
72.5,1.96E-03
72.75,2.05E-03
73,2.05E-03
73.25,2.00E-03
73.5,1.91E-03
73.75,1.77E-03
74,1.79E-03
74.25,1.81E-03
74.5,1.80E-03
74.75,1.79E-03
75,1.81E-03
75.25,1.88E-03
75.5,1.89E-03
75.75,2.05E-03
76,2.20E-03
76.25,2.14E-03
76.5,0.00209373
76.75,2.09E-03
77,2.09E-03
77.25,2.13E-03
77.5,2.09E-03
77.75,2.01E-03
78,1.97E-03
78.25,1.95E-03
78.5,1.92E-03
78.75,1.89E-03
79,1.89E-03
79.25,1.90E-03
79.5,1.92E-03
79.75,1.91E-03
80,1.95E-03
80.25,1.95E-03
80.5,1.92E-03
80.75,1.90E-03
81,1.89E-03
81.25,1.91E-03
81.5,1.89E-03
81.75,1.81E-03
82,1.79E-03
82.25,1.81E-03
82.5,1.80E-03
82.75,1.87E-03
83,1.95E-03
83.25,1.94E-03
83.5,1.94E-03
83.75,1.96E-03
84,2.03E-03
84.25,2.04E-03
84.5,1.98E-03
84.75,1.90E-03
85,1.87E-03
85.25,1.88E-03
85.5,1.87E-03
85.75,1.86E-03
86,1.90E-03
86.25,1.92E-03
86.5,1.93E-03
86.75,1.95E-03
87,1.97E-03
87.25,2.01E-03
87.5,2.03E-03
87.75,2.05E-03
88,2.07E-03
88.25,2.06E-03
88.5,2.02E-03
88.75,1.99E-03
89,1.97E-03
89.25,1.97E-03
89.5,1.95E-03
89.75,1.97E-03
90,2.04E-03
90.25,2.03E-03
90.5,2.01E-03
90.75,1.96E-03
91,1.94E-03
91.25,1.94E-03
91.5,1.92E-03
91.75,1.85E-03
92,1.85E-03
92.25,1.86E-03
92.5,1.87E-03
92.75,1.94E-03
93,1.98E-03
93.25,1.96E-03
93.5,1.94E-03
93.75,1.97E-03
94,2.03E-03
94.25,2.03E-03
94.5,2.01E-03
94.75,1.94E-03
95,1.88E-03
95.25,1.87E-03
95.5,1.84E-03
95.75,1.80E-03
96,1.79E-03
96.25,1.80E-03
96.5,1.78E-03
96.75,1.77E-03
97,1.89E-03
97.25,1.87E-03
97.5,1.88E-03
97.75,1.88E-03
98,1.88E-03
98.25,1.88E-03
