JDAY,SS
65.5,1.907
65.75,1.961
66,1.998
66.25,1.996
66.5,1.927
66.75,1.816
67,1.848
67.25,1.775
67.5,1.64
67.75,1.577
68,1.458
68.25,1.432
68.5,1.435
68.75,1.489
69,1.627
69.25,1.694
69.5,1.691
69.75,1.641
70,1.545
70.25,1.423
70.5,1.183
70.75,1.027
71,1.02
71.25,1.079
71.5,1.211
71.75,1.097
72,0.956
72.25,0.848
72.5,0.763
72.75,0.743
73,0.714
73.25,0.65
73.5,0.66
73.75,1.209
74,1.652
74.25,1.679
74.5,1.635
74.75,1.529
75,1.287
75.25,0.941
75.5,0.736
75.75,0.744
76,0.585
76.25,0.594
76.5,0.576
76.75,0.541
77,0.525
77.25,0.506
77.5,0.495
77.75,0.522
78,0.711
78.25,0.815
78.5,0.82
78.75,0.718
79,0.616
79.25,0.492
79.5,0.412
79.75,0.368
80,0.338
80.25,0.302
80.5,0.297
80.75,0.303
81,0.419
81.25,0.739
81.5,0.812
81.75,0.815
82,0.78
82.25,0.72
82.5,0.666
82.75,0.69
83,0.76
83.25,0.745
83.5,0.612
83.75,0.515
84,0.397
84.25,0.277
84.5,0.328
84.75,0.778
85,0.762
85.25,0.674
85.5,0.602
85.75,0.578
86,0.665
86.25,0.712
86.5,0.667
86.75,0.526
87,0.377
87.25,0.327
87.5,0.381
87.75,0.617
88,0.761
88.25,0.306
88.5,0.216
88.75,0.246
89,0.279
89.25,0.295
89.5,0.316
89.75,0.478
90,1.447
90.25,0.705
90.5,0.199
90.75,1.727
91,1.129
91.25,0.578
91.5,0.446
91.75,0.376
92,0.398
92.25,0.468
92.5,0.675
92.75,0.828
93,1.078
93.25,0.666
93.5,0.395
93.75,1.017
94,1.713
94.25,1.163
94.5,1.744
94.75,3.802
95,1.983
95.25,0.745
95.5,0.464
95.75,0.383
96,0.312
96.25,0.321
96.5,0.321
96.75,0.468
97,0.819
97.25,0.645
97.5,0.695
97.75,0.818
98,1.065
98.25,1.494
98.5,1.493
98.75,1.392
99,1.189
99.25,0.541
99.5,1.74
99.75,1.231
100,0.691
100.25,0.391
100.5,0.474
100.75,0.346
101,0.214
101.25,0.193
101.5,0.167
101.75,0.157
102,0.262
102.25,0.35
102.5,0.437
102.75,0.56
103,0.693
103.25,0.562
103.5,0.567
103.75,0.574
104,0.48
104.25,0.388
104.5,0.391
104.75,0.376
105,0.224
105.25,0.378
105.5,0.461
105.75,0.345
106,0.304
106.25,0.307
106.5,0.299
106.75,0.302
107,0.273
107.25,0.27
107.5,0.272
107.75,0.278
108,0.371
108.25,0.546
108.5,0.442
108.75,0.4
109,0.838
109.25,0.46
109.5,0.251
109.75,0.294
110,0.256
110.25,0.192
110.5,0.815
110.75,1.759
111,1.518
111.25,0.884
111.5,0.889
111.75,0.742
112,0.55
112.25,0.428
112.5,0.313
112.75,0.252
113,0.191
113.25,0.156
113.5,0.139
113.75,0.131
114,0.132
114.25,0.131
114.5,0.119
114.75,0.105
115,0.097
115.25,0.089
115.5,0.076
115.75,0.07
116,0.07
116.25,0.097
116.5,0.129
116.75,0.323
117,0.446
117.25,0.787
117.5,0.821
117.75,0.584
118,0.427
118.25,0.278
118.5,0.179
118.75,0.114
119,0.084
119.25,0.079
119.5,0.07
119.75,0.054
120,0.044
120.25,0.036
120.5,0.048
120.75,0.042
121,0.063
121.25,0.046
121.5,0.094
121.75,0.25
122,0.448
122.25,0.905
122.5,1.516
122.75,2.034
123,2.941
123.25,4.412
123.5,6.138
123.75,6.314
124,5.048
124.25,5.013
124.5,5.394
124.75,4.707
125,3.723
125.25,3.207
125.5,4.679
125.75,4.609
126,3.728
126.25,2.871
126.5,2.631
126.75,2.485
127,1.658
127.25,0.975
127.5,0.658
127.75,0.531
128,0.949
128.25,0.638
128.5,0.291
128.75,0.201
129,0.382
129.25,0.609
129.5,0.783
129.75,1.106
130,1.055
130.25,0.947
130.5,0.777
130.75,0.624
131,0.813
131.25,1.133
131.5,1.619
131.75,1.841
132,1.665
132.25,1.597
132.5,1.675
132.75,1.82
133,1.676
133.25,1.542
133.5,1.536
133.75,1.596
134,1.599
134.25,1.471
134.5,1.294
134.75,1.008
135,0.767
135.25,0.621
135.5,0.578
135.75,0.633
136,1.077
136.25,1.308
136.5,1.093
136.75,0.553
137,0.19
137.25,0.712
137.5,1.135
137.75,0.878
138,0.689
138.25,0.844
138.5,1.032
138.75,0.53
139,0.387
139.25,0.29
139.5,0.224
139.75,0.371
140,0.329
140.25,0.516
140.5,0.525
140.75,0.345
141,0.406
141.25,0.831
141.5,0.963
141.75,0.86
142,0.874
142.25,0.832
142.5,0.784
142.75,0.941
143,1.324
143.25,1.298
143.5,1.121
143.75,0.93
144,0.518
144.25,0.303
144.5,0.184
144.75,0.125
145,0.096
145.25,0.061
145.5,0.089
145.75,0.134
146,0.157
146.25,0.308
146.5,0.577
146.75,0.767
147,0.825
147.25,1.007
147.5,1.074
147.75,0.937
148,0.877
148.25,0.971
148.5,0.838
148.75,0.747
149,0.802
149.25,0.717
149.5,0.594
149.75,0.554
150,0.578
150.25,0.53
150.5,0.446
150.75,0.38
151,0.314
151.25,0.274
151.5,0.308
151.75,0.362
152,0.361
152.25,0.36
152.5,0.415
152.75,0.422
153,0.376
153.25,0.344
153.5,0.305
153.75,0.26
154,0.198
154.25,0.175
154.5,0.2
154.75,0.171
155,0.133
155.25,0.116
155.5,0.152
155.75,0.115
156,0.079
156.25,0.075
156.5,0.104
156.75,0.114
157,0.108
157.25,0.132
157.5,0.128
157.75,0.103
158,0.103
158.25,0.11
158.5,0.094
158.75,0.066
159,0.059
159.25,0.068
159.5,0.065
159.75,0.058
160,0.04
160.25,0.044
160.5,0.034
160.75,0.029
161,0.049
161.25,0.057
161.5,0.051
161.75,0.056
162,0.07
162.25,0.063
162.5,0.047
162.75,0.031
163,0.028
163.25,0.039
163.5,0.035
163.75,0.037
164,0.06
164.25,0.067
164.5,0.062
164.75,0.073
165,0.07
165.25,0.052
165.5,0.041
165.75,0.032
166,0.029
166.25,0.028
166.5,0.025
166.75,0.018
167,0.013
167.25,0.013
167.5,0.018
167.75,0.015
168,0.012
168.25,0.013
168.5,0.022
168.75,0.016
169,0.01
169.25,0.017
169.5,0.03
169.75,0.052
170,0.049
170.25,0.042
170.5,0.042
170.75,0.042
171,0.045
171.25,0.045
171.5,0.033
171.75,0.027
172,0.024
172.25,0.022
172.5,0.024
172.75,0.026
173,0.031
173.25,0.03
173.5,0.026
173.75,0.026
174,0.023
174.25,0.016
174.5,0.013
174.75,0.011
175,0.01
175.25,0.008
175.5,0.008
175.75,0.008
176,0.006
176.25,0.006
176.5,0.007
176.75,0.005
177,0.012
177.25,0.019
177.5,0.016
177.75,0.016
178,0.015
178.25,0.014
178.5,0.014
178.75,0.014
179,0.016
179.25,0.017
179.5,0.02
179.75,0.018
180,0.013
180.25,0.014
180.5,0.007
180.75,0.009
181,0.008
181.25,0.007
181.5,0.006
181.75,0.006
182,0.006
182.25,0.006
182.5,0.01
182.75,0.013
183,0.014
183.25,0.015
183.5,0.02
183.75,0.015
184,0.016
184.25,0.017
184.5,0.014
184.75,0.017
185,0.017
185.25,0.021
185.5,0.02
185.75,0.017
186,0.015
186.25,0.014
186.5,0.009
186.75,0.007
187,0.007
187.25,0.007
187.5,0.006
187.75,0.006
188,0.008
188.25,0.008
188.5,0.006
188.75,0.006
189,0.006
189.25,0.006
189.5,0.006
189.75,0.004
190,0.004
190.25,0.004
190.5,0.004
190.75,0.004
191,0.006
191.25,0.007
191.5,0.006
191.75,0.004
192,0.004
192.25,0.003
192.5,0.002
192.75,0.002
193,0.002
193.25,0.002
193.5,0.002
193.75,0.002
194,0.002
194.25,0.003
194.5,0.003
194.75,0.003
195,0.003
195.25,0.003
195.5,0.002
195.75,0.001
196,0.002
196.25,0.002
196.5,0.002
196.75,0.001
197,0.001
197.25,0.001
197.5,0.001
197.75,0.002
198,0.002
198.25,0.002
198.5,0.002
198.75,0.002
199,0.002
199.25,0.002
199.5,0.001
199.75,0.001
200,0.001
200.25,0.001
200.5,0.002
200.75,0.001
201,0.003
201.25,0.004
201.5,0.004
201.75,0.006
202,0.006
202.25,0.007
202.5,0.004
202.75,0.008
203,0.013
203.25,0.011
203.5,0.011
203.75,0.011
204,0.008
204.25,0.004
204.5,0.004
204.75,0.005
205,0.007
205.25,0.01
205.5,0.008
205.75,0.011
206,0.017
206.25,0.016
206.5,0.011
206.75,0.015
207,0.021
207.25,0.017
